operator,directory,total_tests,passed_tests,failed_tests,correctness_rate,avg_speedup,geomean_speedup,avg_benchmark_time,mean_absolute_error,mean_relative_error,max_relative_error,max_absolute_error
count_nonzero.dim_IntList,count_nonzero,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
mean.default,mean,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
mean.dim,mean,16,16,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
std.correction,std,8,8,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
var.correction,var,8,8,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
prod.default,prod,6,6,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
prod.dim_int,prod,18,18,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
sum.default,sum,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
sum.dim_IntList,sum,16,16,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
nansum.default,nansum,29,29,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
pixel_shuffle.default,pixel_shuffle,5,5,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
pixel_unshuffle.default,pixel_unshuffle,5,5,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
channel_shuffle.default,channel_shuffle,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
scatter_reduce.two,scatter_reduce,70,70,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
segment_reduce.default,segment_reduce,120,120,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
