op_name,is_core,is_in_opinfo,is_in_torchbench
indices,No,No,No
indices_copy,No,No,No
infinitely_differentiable_gelu_backward,No,No,No
inner,No,No,No
instance_norm,No,No,No
int_repr,No,No,No
inverse,No,No,No
is_coalesced,No,No,No
is_complex,No,No,No
is_conj,No,No,No
is_distributed,No,No,No
is_floating_point,No,No,No
is_inference,No,No,No
is_leaf,No,No,No
is_neg,No,No,No
is_nonzero,No,No,No
is_pinned,No,No,No
is_same_size,No,No,No
is_set_to,No,No,No
is_signed,No,No,No
is_vulkan_available,No,No,No
isclose,No,No,No
isfinite,No,No,No
isin,No,Yes,No
isinf,Yes,Yes,Yes
isnan,Yes,Yes,Yes
isneginf,No,Yes,No
isposinf,No,Yes,No
isreal,No,No,No
istft,No,No,No
item,No,No,No
kaiser_window,No,No,No
kl_div,No,No,No
kron,No,No,No
kthvalue,No,Yes,No
l1_loss,No,No,No
layer_norm,No,No,No
lcm,No,No,No
lcm_,No,No,No
ldexp,No,No,No
ldexp_,No,No,No
le,Yes,Yes,Yes
le_,No,No,No
leaky_relu,Yes,Yes,Yes
leaky_relu_,No,No,Yes
leaky_relu_backward,No,No,Yes
lerp,No,Yes,No
lerp_,No,Yes,No
less,No,No,No
less_,No,No,No
less_equal,No,No,No
less_equal_,No,No,No
lgamma,No,Yes,No
lgamma_,No,No,No
lift,No,No,No
lift_fresh,No,Yes,No
lift_fresh_copy,No,No,Yes
linalg_cholesky,No,No,No
linalg_cholesky_ex,No,No,No
linalg_cond,No,No,No
linalg_cross,No,Yes,No
linalg_det,No,No,No
linalg_diagonal,No,No,No
linalg_eig,No,No,No
linalg_eigh,No,No,No
linalg_eigvals,No,No,No
linalg_eigvalsh,No,No,No
linalg_householder_product,No,No,No
linalg_inv,No,No,No
linalg_inv_ex,No,No,No
linalg_ldl_factor,No,No,No
linalg_ldl_factor_ex,No,No,No
linalg_ldl_solve,No,No,No
linalg_lstsq,No,No,No
linalg_lu,No,No,No
linalg_lu_factor,No,No,No
linalg_lu_factor_ex,No,No,No
linalg_lu_solve,No,No,No
linalg_matmul,No,No,No
linalg_matrix_exp,No,Yes,No
linalg_matrix_norm,No,No,No
linalg_matrix_power,No,No,No
linalg_matrix_rank,No,No,No
linalg_multi_dot,No,No,No
linalg_norm,No,No,No
linalg_pinv,No,Yes,No
linalg_qr,No,Yes,No
linalg_slogdet,No,No,No
linalg_solve,No,No,No
linalg_solve_ex,No,No,No
linalg_solve_triangular,No,No,No
linalg_svd,No,No,No
linalg_svdvals,No,No,No
linalg_tensorinv,No,No,No
linalg_tensorsolve,No,No,No
linalg_vander,No,No,No
linalg_vecdot,No,No,No
linalg_vector_norm,No,Yes,No
linear,No,No,No
linear_backward,No,No,No
linspace,No,Yes,No
log,Yes,Yes,No
log10,Yes,Yes,No
log10_,No,No,No
log1p,Yes,Yes,No
log1p_,No,No,No
log2,Yes,Yes,Yes
log2_,No,No,No
log_,No,No,No
log_normal_,No,Yes,No
log_sigmoid,No,No,No
log_sigmoid_backward,No,No,No
log_sigmoid_forward,No,Yes,No
log_softmax,No,No,No
logaddexp,No,Yes,No
logaddexp2,No,Yes,No
logcumsumexp,No,Yes,No
logdet,No,No,No
logical_and,Yes,Yes,No
logical_and_,No,Yes,Yes
logical_not,Yes,Yes,No
logical_not_,No,Yes,No
logical_or,Yes,Yes,No
logical_or_,No,No,No
logical_xor,Yes,Yes,No
logical_xor_,No,No,No
logit,No,Yes,No
logit_,No,No,No
logit_backward,No,No,No
logspace,No,Yes,No
logsumexp,No,Yes,No
lstm,No,No,No
lstm_cell,No,No,No
lstm_mps_backward,No,No,No
lt,Yes,Yes,Yes
lt_,No,No,No
lu_solve,No,No,No
lu_unpack,No,Yes,No
mH,No,No,No
mT,No,No,No
margin_ranking_loss,No,No,No
masked_fill,No,Yes,Yes
masked_fill_,No,Yes,Yes
masked_scatter,Yes,Yes,No
masked_scatter_,No,No,No
masked_scatter_backward,No,No,No
masked_select,No,Yes,No
masked_select_backward,No,No,No
matmul,No,No,No
matmul_backward,No,No,No
matrix_H,No,No,No
matrix_exp,No,No,No
matrix_exp_backward,No,No,No
matrix_power,No,No,No
max,Yes,Yes,Yes
max_pool1d,No,No,No
max_pool1d_with_indices,No,No,No
max_pool2d,No,No,No
max_pool2d_backward,No,No,No
max_pool2d_with_indices,Yes,Yes,Yes
max_pool2d_with_indices_backward,Yes,Yes,Yes
max_pool3d,No,No,No
max_pool3d_with_indices,Yes,No,No
max_pool3d_with_indices_backward,No,No,No
max_unpool2d,No,Yes,No
max_unpool3d,No,No,No
maximum,Yes,Yes,Yes
mean,Yes,Yes,Yes
median,No,Yes,No
meshgrid,No,No,No
min,Yes,Yes,Yes
minimum,Yes,Yes,Yes
miopen_batch_norm,No,No,No
miopen_batch_norm_backward,No,No,No
miopen_convolution,No,No,No
miopen_convolution_add_relu,No,No,No
miopen_convolution_relu,No,No,No
miopen_convolution_transpose,No,No,No
miopen_depthwise_convolution,No,No,No
miopen_rnn,No,No,No
miopen_rnn_backward,No,No,No
mish,No,Yes,No
mish_,No,No,No
mish_backward,No,No,No
mkldnn_adaptive_avg_pool2d,No,No,No
mkldnn_adaptive_avg_pool2d_backward,No,No,No
mkldnn_convolution,No,No,No
mkldnn_linear,No,No,No
mkldnn_linear_backward,No,No,No
mkldnn_linear_backward_input,No,No,No
mkldnn_linear_backward_weights,No,No,No
mkldnn_max_pool2d,No,No,No
mkldnn_max_pool2d_backward,No,No,No
mkldnn_max_pool3d,No,No,No
mkldnn_max_pool3d_backward,No,No,No
mkldnn_reorder_conv2d_weight,No,No,No
mkldnn_reorder_conv3d_weight,No,No,No
mkldnn_rnn_layer,No,No,No
mkldnn_rnn_layer_backward,No,No,No
mm,Yes,Yes,Yes
mode,No,Yes,No
moveaxis,No,No,No
movedim,No,No,No
mps_convolution_backward,No,No,No
mps_convolution_transpose_backward,No,No,No
mse_loss,No,Yes,Yes
mse_loss_backward,No,No,Yes
msort,No,No,No
mul,Yes,Yes,Yes
mul_,No,Yes,Yes
multi_margin_loss,No,Yes,No
multi_margin_loss_backward,No,No,No
multilabel_margin_loss,No,No,No
multilabel_margin_loss_backward,No,No,No
multilabel_margin_loss_forward,No,No,No
multinomial,No,Yes,No
multiply,No,No,No
multiply_,No,No,No
mv,No,Yes,No
mvlgamma,No,Yes,No
mvlgamma_,No,No,No
nan_to_num,No,Yes,No
nan_to_num_,No,No,No
nanmean,No,No,No
nanmedian,No,Yes,No
nanquantile,No,No,No
nansum,No,Yes,No
narrow,No,No,No
narrow_copy,No,Yes,No
native_batch_norm,No,Yes,Yes
native_batch_norm_backward,No,No,Yes
native_channel_shuffle,No,No,No
native_dropout,Yes,No,No
native_dropout_backward,No,Yes,No
native_group_norm,Yes,No,Yes
native_group_norm_backward,Yes,No,Yes
native_layer_norm,Yes,Yes,Yes
native_layer_norm_backward,Yes,No,No
native_norm,No,No,No
ne,Yes,Yes,Yes
ne_,No,No,No
neg,Yes,Yes,Yes
neg_,No,No,No
negative,No,No,No
negative_,No,No,No
nested_to_padded_tensor,No,No,No
new_empty,No,Yes,Yes
new_empty_strided,No,Yes,Yes
new_full,No,Yes,Yes
new_ones,No,Yes,Yes
new_zeros,No,Yes,Yes
nextafter,No,Yes,No
nextafter_,No,No,No
nll_loss,No,No,No
nll_loss2d,No,No,No
nll_loss2d_backward,No,No,No
nll_loss2d_forward,No,Yes,No
nll_loss_backward,No,No,No
nll_loss_forward,No,Yes,No
nll_loss_nd,No,No,No
nonzero,Yes,Yes,Yes
nonzero_numpy,No,No,No
nonzero_static,No,No,No
norm,No,Yes,Yes
norm_except_dim,No,No,No
normal,No,No,No
normal_,No,Yes,No
normal_functional,No,No,No
not_equal,No,No,No
not_equal_,No,No,No
nuclear_norm,No,No,No
numpy_T,No,No,No
one_hot,No,No,No
ones,No,Yes,No
ones_like,No,Yes,No
orgqr,No,No,No
ormqr,No,Yes,No
outer,No,No,No
output_nr,No,No,No
pad,No,No,No
pad_sequence,No,No,No
pairwise_distance,No,No,No
pdist,No,No,No
permute,Yes,Yes,No
permute_copy,No,Yes,No
pin_memory,No,No,No
pinverse,No,No,No
pixel_shuffle,No,Yes,No
pixel_unshuffle,No,Yes,No
poisson,No,No,No
poisson_nll_loss,No,No,No
polar,No,Yes,No
polygamma,No,No,No
polygamma_,No,No,No
positive,No,No,No
pow,Yes,Yes,Yes
pow_,No,No,No
prelu,No,No,No
prod,Yes,Yes,No
promote_types,No,No,No
put,No,Yes,No
put_,No,No,No
q_per_channel_axis,No,No,No
q_per_channel_scales,No,No,No
q_per_channel_zero_points,No,No,No
q_scale,No,No,No
q_zero_point,No,No,No
qr,No,No,No
qscheme,No,No,No
quantile,No,No,No
quantize_per_channel,No,No,No
quantize_per_tensor,No,No,No
quantize_per_tensor_dynamic,No,No,No
quantized_batch_norm,No,No,No
quantized_gru_cell,No,No,No
quantized_lstm_cell,No,No,No
quantized_max_pool1d,No,No,No
quantized_max_pool2d,No,No,No
quantized_max_pool3d,No,No,No
quantized_rnn_relu_cell,No,No,No
quantized_rnn_tanh_cell,No,No,No
rad2deg,No,Yes,No
rad2deg_,No,No,No
rand,Yes,Yes,No
rand_like,No,No,No
randint,No,Yes,No
randint_like,No,Yes,No
randn,Yes,Yes,No
randn_like,No,Yes,No
random_,No,No,No
randperm,Yes,No,No
range,No,No,No
ravel,No,No,No
real,No,No,No
reciprocal,Yes,Yes,Yes
reciprocal_,No,No,No
record_stream,No,No,No
refine_names,No,No,No
reflection_pad1d,Yes,Yes,No
reflection_pad1d_backward,No,No,No
reflection_pad2d,Yes,No,Yes
reflection_pad2d_backward,No,No,Yes
reflection_pad3d,Yes,No,No
reflection_pad3d_backward,No,No,No
relu,Yes,Yes,Yes
relu6,No,No,No
relu6_,No,No,No
relu_,No,No,Yes
remainder,Yes,Yes,Yes
remainder_,No,No,No
rename,No,No,No
rename_,No,No,No
renorm,No,Yes,No
renorm_,No,No,No
repeat,Yes,Yes,Yes
repeat_interleave,No,Yes,No
replication_pad1d,No,No,No
replication_pad1d_backward,No,No,No
replication_pad2d,Yes,No,No
replication_pad2d_backward,No,No,No
replication_pad3d,Yes,No,No
replication_pad3d_backward,No,No,No
requires_grad_,No,No,No
reshape,No,No,No
reshape_as,No,No,No
resize_,Yes,Yes,No
resize_as_,No,Yes,No
resize_as_sparse_,No,No,No
resolve_conj,No,No,No
resolve_neg,No,No,No
result_type,No,No,No
retain_grad,No,No,No
retains_grad,No,No,No
rms_norm,No,No,No
rnn_relu,No,No,No
rnn_relu_cell,No,No,No
rnn_tanh,No,No,No
rnn_tanh_cell,No,No,No
roll,No,Yes,Yes
rot90,No,Yes,No
round,Yes,Yes,Yes
round_,No,No,No
row_indices,No,No,No
row_indices_copy,No,No,No
row_stack,No,No,No
rrelu,No,No,No
rrelu_,No,No,No
rrelu_with_noise,No,Yes,No
rrelu_with_noise_,No,No,No
rrelu_with_noise_backward,No,No,No
rsqrt,Yes,Yes,Yes
rsqrt_,No,No,No
rsub,No,Yes,Yes
scalar_tensor,Yes,Yes,No
scaled_dot_product_attention,No,No,No
scatter,Yes,Yes,No
scatter_,No,No,No
scatter_add,Yes,Yes,No
scatter_add_,No,No,No
scatter_reduce,Yes,Yes,No
scatter_reduce_,No,No,No
searchsorted,No,Yes,No
segment_reduce,No,Yes,No
select,Yes,Yes,No
select_backward,No,No,Yes
select_copy,No,No,No
select_scatter,Yes,Yes,No
selu,No,No,No
selu_,No,No,No
set_,No,No,No
set_data,No,No,No
sgn,No,Yes,Yes
sgn_,No,No,No
sigmoid,Yes,Yes,Yes
sigmoid_,No,No,Yes
sigmoid_backward,No,No,Yes
sign,Yes,Yes,No
sign_,No,No,No
signbit,No,Yes,No
silu,No,Yes,Yes
silu_,No,No,Yes
silu_backward,No,No,Yes
sin,Yes,Yes,Yes
sin_,No,No,No
sinc,No,Yes,No
sinc_,No,No,No
sinh,Yes,Yes,No
sinh_,No,No,No
size,No,No,No
slice,Yes,Yes,No
slice_backward,No,No,Yes
slice_copy,No,No,No
slice_inverse,No,No,No
slice_scatter,Yes,Yes,No
slogdet,No,No,No
slow_conv3d,No,No,No
slow_conv3d_forward,No,No,No
slow_conv_dilated2d,No,No,No
slow_conv_dilated3d,No,No,No
slow_conv_transpose2d,No,No,No
slow_conv_transpose3d,No,No,No
smm,No,No,No
smooth_l1_loss,No,Yes,No
smooth_l1_loss_backward,No,No,No
soft_margin_loss,No,Yes,No
soft_margin_loss_backward,No,No,No
softmax,No,No,No
softplus,No,Yes,No
softplus_backward,No,No,No
softshrink,No,Yes,No
softshrink_backward,No,No,No
sort,Yes,Yes,No
sparse_bsc_tensor,No,No,No
sparse_bsr_tensor,No,No,No
sparse_compressed_tensor,No,No,No
sparse_coo_tensor,No,No,No
sparse_csc_tensor,No,No,No
sparse_csr_tensor,No,No,No
sparse_dim,No,No,No
sparse_mask,No,No,No
sparse_resize_,No,No,No
sparse_resize_and_clear_,No,No,No
sparse_sampled_addmm,No,No,No
special_airy_ai,No,No,No
special_bessel_j0,No,No,No
special_bessel_j1,No,No,No
special_bessel_y0,No,No,No
special_bessel_y1,No,No,No
special_chebyshev_polynomial_t,No,No,No
special_chebyshev_polynomial_u,No,No,No
special_chebyshev_polynomial_v,No,No,No
special_chebyshev_polynomial_w,No,No,No
special_digamma,No,No,No
special_entr,No,No,No
special_erf,No,No,No
special_erfc,No,No,No
special_erfcx,No,No,No
special_erfinv,No,No,No
special_exp2,No,No,No
special_expit,No,No,No
special_expm1,No,No,No
special_gammainc,No,No,No
special_gammaincc,No,No,No
special_gammaln,No,No,No
special_hermite_polynomial_h,No,No,No
special_hermite_polynomial_he,No,No,No
special_i0,No,No,No
special_i0e,No,No,No
special_i1,No,No,No
special_i1e,No,No,No
special_laguerre_polynomial_l,No,No,No
special_legendre_polynomial_p,No,No,No
special_log1p,No,No,No
special_log_ndtr,No,No,No
special_log_softmax,No,No,No
special_logit,No,No,No
special_logsumexp,No,No,No
special_modified_bessel_i0,No,No,No
special_modified_bessel_i1,No,No,No
special_modified_bessel_k0,No,No,No
special_modified_bessel_k1,No,No,No
special_multigammaln,No,No,No
special_ndtr,No,No,No
special_ndtri,No,No,No
special_polygamma,No,No,No
special_psi,No,No,No
special_round,No,No,No
special_scaled_modified_bessel_k0,No,No,No
special_scaled_modified_bessel_k1,No,No,No
special_shifted_chebyshev_polynomial_t,No,No,No
special_shifted_chebyshev_polynomial_u,No,No,No
special_shifted_chebyshev_polynomial_v,No,No,No
special_shifted_chebyshev_polynomial_w,No,No,No
special_sinc,No,No,No
special_softmax,No,No,No
special_spherical_bessel_j0,No,No,No
special_xlog1py,No,No,No
special_xlogy,No,No,No
special_zeta,No,No,No
split,No,Yes,Yes
split_copy,No,No,No
split_with_sizes,Yes,Yes,Yes
split_with_sizes_copy,No,Yes,No
sqrt,Yes,Yes,Yes
sqrt_,No,Yes,No
square,No,No,No
square_,No,No,No
squeeze,Yes,Yes,No
squeeze_,No,Yes,No
squeeze_copy,No,Yes,No
sspaddmm,No,No,No
stack,No,Yes,Yes
std,No,Yes,Yes
std_mean,No,Yes,No
stft,No,No,No
stride,No,No,No
sub,Yes,Yes,Yes
sub_,No,Yes,No
subtract,No,No,No
subtract_,No,No,No
sum,Yes,Yes,Yes
sum_to_size,No,No,No
svd,No,No,No
swapaxes,No,No,No
swapaxes_,No,No,No
swapdims,No,No,No
swapdims_,No,No,No
sym_constrain_range,No,No,No
sym_constrain_range_for_size,No,No,No
sym_numel,Yes,No,No
sym_size,Yes,No,No
sym_storage_offset,Yes,No,No
sym_stride,Yes,No,No
t,No,Yes,No
t_,No,No,No
t_copy,No,Yes,No
take,No,Yes,No
take_along_dim,No,No,No
tan,Yes,Yes,No
tan_,No,No,No
tanh,Yes,Yes,Yes
tanh_,No,No,No
tanh_backward,No,No,Yes
tensor_split,No,No,No
tensordot,No,No,No
thnn_conv2d,No,No,No
threshold,No,Yes,No
threshold_,No,No,No
threshold_backward,No,No,Yes
tile,No,No,No
to,No,No,No
to_dense,No,No,No
to_dense_backward,No,No,No
to_mkldnn,No,No,No
to_mkldnn_backward,No,No,No
to_padded_tensor,No,No,No
to_sparse,No,No,No
to_sparse_bsc,No,No,No
to_sparse_bsr,No,No,No
to_sparse_csc,No,No,No
to_sparse_csr,No,No,No
topk,Yes,Yes,Yes
trace,No,Yes,No
trace_backward,No,No,No
transpose,No,Yes,No
transpose_,No,Yes,No
transpose_copy,No,Yes,No
trapezoid,No,No,No
trapz,No,No,No
triangular_solve,No,Yes,No
tril,No,Yes,Yes
tril_,No,No,No
tril_indices,No,No,No
triplet_margin_loss,No,No,No
triu,No,Yes,Yes
triu_,No,No,No
triu_indices,No,No,No
true_divide,No,No,No
true_divide_,No,No,No
trunc,Yes,Yes,No
trunc_,No,No,No
type_as,No,No,No
unbind,No,Yes,Yes
unbind_copy,No,Yes,No
unflatten,No,No,No
unflatten_dense_tensors,No,No,No
unfold,No,Yes,No
unfold_backward,No,No,Yes
unfold_copy,No,Yes,No
uniform_,No,Yes,No
unique_consecutive,No,Yes,No
unique_dim,No,Yes,No
unique_dim_consecutive,No,No,No
unsafe_chunk,No,No,No
unsafe_split,No,Yes,No
unsafe_split_with_sizes,No,No,No
unsqueeze,Yes,Yes,No
unsqueeze_,No,Yes,Yes
unsqueeze_copy,No,Yes,No
upsample_bicubic2d,No,No,Yes
upsample_bicubic2d_backward,No,No,No
upsample_bilinear2d,Yes,No,Yes
upsample_bilinear2d_backward,No,No,No
upsample_linear1d,No,No,No
upsample_linear1d_backward,No,No,No
upsample_nearest1d,No,No,No
upsample_nearest1d_backward,No,No,No
upsample_nearest2d,Yes,No,Yes
upsample_nearest2d_backward,No,No,No
upsample_nearest3d,No,No,No
upsample_nearest3d_backward,No,No,No
upsample_trilinear3d,No,No,No
upsample_trilinear3d_backward,No,No,No
value_selecting_reduction_backward,No,No,No
values,No,No,No
values_copy,No,No,No
vander,No,No,No
var,Yes,Yes,No
var_mean,No,Yes,Yes
vdot,No,Yes,No
view,Yes,Yes,No
view_as,No,No,No
view_as_complex,No,Yes,No
view_as_complex_copy,No,No,No
view_as_real,No,Yes,No
view_as_real_copy,No,No,No
view_copy,No,Yes,No
vsplit,No,No,No
vstack,No,No,No
where,Yes,Yes,Yes
xlogy,No,Yes,No
xlogy_,No,No,No
zero_,No,Yes,No
zeros,No,Yes,No
zeros_like,No,Yes,No
